City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nemuro,64,JP,1554478671,94,43.32,145.57,34.46,21.72
1,busselton,0,AU,1554478616,46,-33.64,115.35,53.01,12.44
2,punta arenas,75,CL,1554478351,81,-53.16,-70.91,51.8,26.4
3,puerto ayora,20,EC,1554478309,78,-0.74,-90.35,82.4,6.93
4,sao joao da barra,20,BR,1554476400,49,-21.64,-41.05,91.4,4.7
5,atuona,92,PF,1554478675,98,-9.8,-139.03,82.61,14.0
6,xuddur,0,SO,1554478676,28,4.12,43.89,91.97,10.09
7,bijie,92,CN,1554478676,82,27.3,105.3,51.56,2.48
8,kavieng,76,PG,1554478676,100,-2.57,150.8,83.51,6.4
9,rikitea,36,PF,1554478677,100,-23.12,-134.97,76.31,14.45
10,hervey bay,68,AU,1554478518,82,-25.3,152.85,66.0,8.05
11,carnarvon,0,ZA,1554478680,32,-30.97,22.13,68.48,9.19
12,maputo,20,MZ,1554476400,78,-25.97,32.57,82.4,8.05
13,chokurdakh,36,RU,1554478680,59,70.62,147.9,2.15,2.93
14,touros,68,BR,1554478681,86,-5.2,-35.46,84.41,7.18
15,geraldton,90,CA,1554476400,77,49.72,-86.95,32.0,11.41
16,bredasdorp,0,ZA,1554478260,45,-34.53,20.04,68.0,10.29
17,rawson,0,AR,1554478685,37,-43.3,-65.11,64.34,11.32
18,bambous virieux,75,MU,1554478441,88,-20.34,57.76,78.8,18.34
19,tiksi,0,RU,1554478686,62,71.64,128.87,11.78,2.82
20,stykkisholmur,20,IS,1554478686,88,65.08,-22.73,40.04,9.64
21,albany,90,US,1554478516,32,42.65,-73.75,43.0,4.7
22,iki-burul,0,RU,1554476400,66,45.82,44.65,51.8,6.71
23,mataura,0,NZ,1554478694,80,-46.19,168.86,28.34,3.38
24,khatanga,0,RU,1554478694,56,71.98,102.47,6.11,4.38
25,sitka,8,US,1554478249,98,37.17,-99.65,55.0,11.01
26,khani,0,GE,1554476400,33,41.96,42.96,71.6,4.7
27,lebu,20,ET,1554478697,44,8.96,38.73,69.02,6.85
28,padang,56,ID,1554478697,100,-0.92,100.36,83.51,6.17
29,port alfred,88,ZA,1554478592,80,-33.59,26.89,64.0,5.01
30,arraial do cabo,0,BR,1554476400,66,-22.97,-42.02,91.4,12.75
31,bathsheba,75,BB,1554476400,83,13.22,-59.52,77.0,14.99
32,mayskiy,40,RU,1554476400,58,43.63,44.06,53.6,8.95
33,tautira,24,PF,1554478347,83,-17.73,-149.15,78.8,4.7
34,souillac,0,FR,1554478585,41,45.6,-0.6,59.0,5.82
35,teknaf,12,BD,1554478700,88,20.86,92.31,76.58,3.15
36,vierzon,0,FR,1554478686,33,47.22,2.07,57.99,9.17
37,hilo,1,US,1554478627,77,19.71,-155.08,66.99,6.93
38,saint-philippe,20,CA,1554478659,97,45.36,-73.48,35.01,10.29
39,castro,40,CL,1554476400,62,-42.48,-73.76,57.2,2.24
40,qaanaaq,48,GL,1554478703,86,77.48,-69.36,4.31,9.19
41,barrow,0,AR,1554478704,71,-38.31,-60.23,64.97,4.61
42,bilma,0,NE,1554478704,13,18.69,12.92,101.69,8.63
43,vung tau,0,VN,1554478649,96,10.35,107.08,82.61,11.21
44,coihaique,75,CL,1554476400,58,-45.58,-72.07,55.4,10.29
45,ushuaia,90,AR,1554476400,66,-54.81,-68.31,48.2,24.16
46,bowen,90,AU,1554478631,94,-20.01,148.25,73.99,9.17
47,tasiilaq,40,GL,1554475800,58,65.61,-37.64,30.2,20.8
48,rocha,12,UY,1554478705,78,-34.48,-54.34,67.13,17.58
49,rolla,90,US,1554478562,93,37.95,-91.77,52.0,5.82
50,hermanus,0,ZA,1554478317,62,-34.42,19.24,70.0,5.99
51,belaya gora,88,RU,1554478710,79,68.54,146.19,17.18,3.83
52,plouzane,90,FR,1554478689,76,48.38,-4.62,51.01,12.75
53,saint george,40,GR,1554478409,72,39.45,22.34,59.0,17.22
54,nikolskoye,0,RU,1554478536,20,59.7,30.79,57.2,4.47
55,russell,0,AR,1554476400,22,-33.01,-68.8,69.8,9.17
56,kodiak,90,US,1554478582,93,39.95,-94.76,50.0,6.93
57,cap malheureux,75,MU,1554478441,88,-19.98,57.61,78.8,18.34
58,constitucion,90,MX,1554478216,33,23.99,-104.67,62.01,3.36
59,upernavik,8,GL,1554478715,100,72.79,-56.15,13.49,15.68
60,butaritari,80,KI,1554478715,98,3.07,172.79,84.23,14.79
61,koroni,75,GR,1554478533,77,36.8,21.96,60.01,19.15
62,hithadhoo,20,MV,1554478716,100,-0.6,73.08,84.95,5.39
63,mossendjo,76,CG,1554478717,74,-2.95,12.72,84.77,2.71
64,kirovsk,0,RU,1554478717,72,67.62,33.66,28.52,2.26
65,wilmington,90,US,1554478637,39,39.75,-75.55,46.0,11.41
66,jamestown,0,AU,1554478727,61,-33.21,138.6,61.91,10.42
67,husavik,56,CA,1554478530,96,50.56,-96.99,32.0,10.0
68,bayan,0,MN,1554478728,43,47.25,107.54,20.42,10.54
69,sirjan,24,IR,1554478728,63,29.44,55.67,58.76,3.38
70,berck,0,FR,1554478339,43,50.41,1.57,57.99,12.75
71,petropavlovsk-kamchatskiy,88,RU,1554476400,69,53.05,158.65,35.6,4.47
72,cape town,20,ZA,1554478579,52,-33.93,18.42,70.0,23.04
73,kapaa,1,US,1554478224,88,22.08,-159.32,69.8,9.17
74,hobart,75,AU,1554478695,72,-42.88,147.33,62.6,5.82
75,faanui,68,PF,1554478742,100,-16.48,-151.75,83.6,14.23
76,les cayes,24,HT,1554478742,94,18.19,-73.75,80.9,3.71
77,georgetown,40,GY,1554476400,66,6.8,-58.16,89.6,13.87
78,sinnamary,88,GF,1554478743,89,5.38,-52.96,81.89,10.98
79,kedrovyy,0,RU,1554476400,63,56.17,91.82,26.6,5.95
80,roebourne,0,AU,1554478744,71,-20.77,117.15,69.38,2.71
81,torbay,90,CA,1554478701,68,47.66,-52.73,33.01,32.21
82,upington,0,ZA,1554476400,23,-28.46,21.24,82.4,5.82
83,pontes e lacerda,8,BR,1554478745,80,-15.23,-59.33,85.58,9.98
84,ostrovnoy,8,RU,1554478745,84,68.05,39.51,24.02,4.72
85,tabou,68,CI,1554478745,100,4.42,-7.36,82.61,20.27
86,crowley,90,US,1554478562,93,30.21,-92.37,70.0,5.82
87,lianzhou,24,CN,1554478748,96,24.79,112.38,61.28,1.7
88,norman wells,5,CA,1554476400,84,65.28,-126.83,-0.41,5.82
89,vaini,0,IN,1554478750,62,15.34,74.49,77.39,2.59
90,bambanglipuro,56,ID,1554478750,95,-7.95,110.28,74.24,2.82
91,hay river,20,CA,1554476400,72,60.82,-115.79,10.4,2.48
92,kysyl-syr,0,RU,1554478753,71,63.9,122.77,19.16,4.38
